it	O
'	O
s	I
not	B-speculation
completely	I-speculation
sure	I-speculation
though	O
.	O

it	O
'	O
s	I
not	B-speculation
completely	I-speculation
impossible	I-speculation
though	O
.	O

it	O
'	O
s	I
not	B-speculation
completely	I-speculation
confirmed	I-speculation
though	O
.	O

it	O
'	O
s	I
not	B-speculation
entirely	I-speculation
certain	I-speculation
though	O
.	O

all	O
the	O
signs	O
were	O
there	O
,	O
and	O
yet	B-contrast
we	O
did	O
n	O
see	O
it	O
coming	O
.	O

It	O
gets	O
colder	O
now	O
,	O
however	B-contrast
not	O
as	O
cold	O
as	O
the	O
same	O
time	O
last	O
year	O
.	O

They	O
wake	O
up	O
early	O
,	O
whereas	B-contrast
I	O
don	O
'	O
t	O
.	O
